line_no,step,epoch,loss,learning_rate,approx_samples_seen
2,1,0.0008,5.2003,0.0,32
4,2,0.0016,5.2635,0.0,64
6,3,0.0024,4.3082,0.0,96
8,4,0.0032,3.2111,0.0,128
10,5,0.004,2.409,0.0,160
12,6,0.0048,2.0901,0.0,192
14,7,0.0056,2.0773,0.0,224
16,8,0.0064,1.7407,0.0,256
18,9,0.0072,1.6563,0.0,288
20,10,0.008,1.6355,0.0,320
22,11,0.0088,1.4707,0.0,352
24,12,0.0096,1.4995,0.0,384
26,13,0.0104,1.3793,0.0,416
28,14,0.0112,1.2947,0.0,448
30,15,0.012,1.5098,0.0,480
32,16,0.0128,1.3182,0.0,512
34,17,0.0136,1.3708,0.0,544
36,18,0.0144,1.3673,0.0,576
38,19,0.0152,1.21,0.0,608
40,20,0.016,1.3364,0.0,640
42,21,0.0168,1.362,0.0,672
44,22,0.0176,1.208,0.0,704
46,23,0.0184,1.2397,0.0,736
48,24,0.0192,1.2702,0.0,768
50,25,0.02,1.3001,0.0,800
52,26,0.0208,1.2448,0.0,832
54,27,0.0216,1.2716,0.0,864
56,28,0.0224,1.1701,0.0,896
58,29,0.0232,1.1728,0.0,928
60,30,0.024,1.2939,0.0,960
62,31,0.0248,1.1404,0.0,992
64,32,0.0256,1.1802,0.0,1024
66,33,0.0264,1.1942,0.0,1056
68,34,0.0272,1.2512,0.0,1088
70,35,0.028,1.1029,0.0,1120
72,36,0.0288,1.2961,0.0,1152
74,37,0.0296,1.2495,0.0,1184
76,38,0.0304,1.22,0.0,1216
78,39,0.0312,1.1671,0.0,1248
80,40,0.032,1.211,0.0,1280
82,41,0.0328,1.1637,0.0,1312
84,42,0.0336,1.3105,0.0,1344
86,43,0.0344,1.148,0.0,1376
88,44,0.0352,1.3019,0.0,1408
90,45,0.036,1.1653,0.0,1440
92,46,0.0368,1.2068,0.0,1472
94,47,0.0376,1.2441,0.0,1504
96,48,0.0384,1.2101,0.0,1536
98,49,0.0392,1.2209,0.0,1568
100,50,0.04,1.2378,0.0,1600
102,51,0.0408,1.1557,0.0,1632
104,52,0.0416,1.149,0.0,1664
106,53,0.0424,1.1495,0.0,1696
108,54,0.0432,1.2529,0.0,1728
110,55,0.044,1.132,0.0,1760
112,56,0.0448,1.248,0.0,1792
114,57,0.0456,1.1853,0.0,1824
116,58,0.0464,1.1209,0.0,1856
118,59,0.0472,1.1859,0.0,1888
120,60,0.048,1.1745,0.0,1920
122,61,0.0488,1.2279,0.0,1952
124,62,0.0496,1.1012,0.0,1984
126,63,0.0504,1.1784,0.0,2016
128,64,0.0512,1.1972,0.0,2048
130,65,0.052,1.1971,0.0,2080
132,66,0.0528,1.1831,0.0,2112
134,67,0.0536,1.1594,0.0,2144
136,68,0.0544,1.216,0.0,2176
138,69,0.0552,1.1199,0.0,2208
140,70,0.056,1.1791,0.0,2240
142,71,0.0568,1.2258,0.0,2272
144,72,0.0576,1.2678,0.0,2304
146,73,0.0584,1.2384,0.0,2336
148,74,0.0592,1.1069,0.0,2368
150,75,0.06,1.1821,0.0,2400
152,76,0.0608,1.2901,0.0,2432
154,77,0.0616,1.1831,0.0,2464
156,78,0.0624,1.0506,0.0,2496
158,79,0.0632,1.1398,0.0,2528
160,80,0.064,1.2585,0.0,2560
162,81,0.0648,1.1107,0.0,2592
164,82,0.0656,1.1528,0.0,2624
166,83,0.0664,1.1621,0.0,2656
168,84,0.0672,1.2214,0.0,2688
170,85,0.068,1.1167,0.0,2720
172,86,0.0688,1.0414,0.0,2752
174,87,0.0696,1.2219,0.0,2784
176,88,0.0704,1.104,0.0,2816
178,89,0.0712,1.093,0.0,2848
180,90,0.072,1.0921,0.0,2880
182,91,0.0728,1.1963,0.0,2912
184,92,0.0736,1.1737,0.0,2944
186,93,0.0744,1.1809,0.0,2976
188,94,0.0752,1.1646,0.0,3008
190,95,0.076,1.1861,0.0,3040
192,96,0.0768,1.0521,0.0,3072
194,97,0.0776,1.2242,0.0,3104
196,98,0.0784,1.1539,0.0,3136
198,99,0.0792,1.224,0.0,3168
200,100,0.08,1.1326,0.0,3200
202,101,0.0808,1.2531,0.0,3232
204,102,0.0816,1.1187,0.0,3264
206,103,0.0824,1.0653,0.0,3296
208,104,0.0832,1.1708,0.0,3328
210,105,0.084,1.1369,0.0,3360
212,106,0.0848,1.116,0.0,3392
214,107,0.0856,1.2196,0.0,3424
216,108,0.0864,1.0561,0.0,3456
218,109,0.0872,1.0913,0.0,3488
220,110,0.088,1.1508,0.0,3520
222,111,0.0888,1.2187,0.0,3552
224,112,0.0896,1.2064,0.0,3584
226,113,0.0904,1.0595,0.0,3616
228,114,0.0912,1.1716,0.0,3648
230,115,0.092,1.0817,0.0,3680
232,116,0.0928,1.1073,0.0,3712
234,117,0.0936,1.1646,0.0,3744
236,118,0.0944,1.1669,0.0,3776
238,119,0.0952,1.1373,0.0,3808
240,120,0.096,1.0666,0.0,3840
242,121,0.0968,1.2169,0.0,3872
244,122,0.0976,1.103,0.0,3904
246,123,0.0984,1.1655,0.0,3936
248,124,0.0992,1.1062,0.0,3968
250,125,0.1,1.2199,0.0,4000
252,126,0.1008,1.1655,0.0,4032
254,127,0.1016,1.0996,0.0,4064
256,128,0.1024,1.1711,0.0,4096
258,129,0.1032,1.1156,0.0,4128
260,130,0.104,1.1236,0.0,4160
262,131,0.1048,1.2105,0.0,4192
264,132,0.1056,1.1332,0.0,4224
266,133,0.1064,1.1375,0.0,4256
268,134,0.1072,1.133,0.0,4288
270,135,0.108,1.2451,0.0,4320
272,136,0.1088,1.1678,0.0,4352
274,137,0.1096,1.1341,0.0,4384
276,138,0.1104,1.1315,0.0,4416
278,139,0.1112,1.1755,0.0,4448
280,140,0.112,1.1765,0.0,4480
282,141,0.1128,1.1758,0.0,4512
284,142,0.1136,1.1395,0.0,4544
286,143,0.1144,1.1407,0.0,4576
288,144,0.1152,1.1169,0.0,4608
290,145,0.116,1.1635,0.0,4640
292,146,0.1168,1.16,0.0,4672
294,147,0.1176,1.0909,0.0,4704
296,148,0.1184,1.1681,0.0,4736
298,149,0.1192,1.1101,0.0,4768
300,150,0.12,1.1667,0.0,4800
302,151,0.1208,1.2043,0.0,4832
304,152,0.1216,1.119,0.0,4864
306,153,0.1224,1.1573,0.0,4896
308,154,0.1232,1.1541,0.0,4928
310,155,0.124,1.1456,0.0,4960
312,156,0.1248,1.2704,0.0,4992
314,157,0.1256,1.1487,0.0,5024
316,158,0.1264,1.2082,0.0,5056
318,159,0.1272,1.1909,0.0,5088
320,160,0.128,1.0631,0.0,5120
322,161,0.1288,1.0656,0.0,5152
324,162,0.1296,1.1547,0.0,5184
326,163,0.1304,1.1334,0.0,5216
328,164,0.1312,1.1128,0.0,5248
330,165,0.132,1.1881,0.0,5280
332,166,0.1328,1.1441,0.0,5312
334,167,0.1336,1.1985,0.0,5344
336,168,0.1344,1.1365,0.0,5376
338,169,0.1352,1.1406,0.0,5408
340,170,0.136,1.1153,0.0,5440
342,171,0.1368,1.1236,0.0,5472
344,172,0.1376,1.0356,0.0,5504
346,173,0.1384,1.1379,0.0,5536
348,174,0.1392,1.2086,0.0,5568
350,175,0.14,1.0944,0.0,5600
352,176,0.1408,1.1546,0.0,5632
354,177,0.1416,1.1268,0.0,5664
356,178,0.1424,1.1496,0.0,5696
358,179,0.1432,1.105,0.0,5728
360,180,0.144,1.212,0.0,5760
362,181,0.1448,1.1782,0.0,5792
364,182,0.1456,1.1593,0.0,5824
366,183,0.1464,1.0869,0.0,5856
368,184,0.1472,1.1028,0.0,5888
370,185,0.148,1.2143,0.0,5920
372,186,0.1488,1.1155,0.0,5952
374,187,0.1496,1.0937,0.0,5984
376,188,0.1504,1.1122,0.0,6016
378,189,0.1512,1.1569,0.0,6048
380,190,0.152,1.1634,0.0,6080
382,191,0.1528,1.128,0.0,6112
384,192,0.1536,1.1766,0.0,6144
386,193,0.1544,1.1424,0.0,6176
388,194,0.1552,1.0964,0.0,6208
390,195,0.156,1.1022,0.0,6240
392,196,0.1568,1.1337,0.0,6272
394,197,0.1576,1.0966,0.0,6304
396,198,0.1584,1.1311,0.0,6336
398,199,0.1592,1.1808,0.0,6368
400,200,0.16,1.0411,0.0,6400
402,201,0.1608,1.0612,0.0,6432
404,202,0.1616,1.1216,0.0,6464
406,203,0.1624,1.1413,0.0,6496
408,204,0.1632,1.1523,0.0,6528
410,205,0.164,1.1023,0.0,6560
412,206,0.1648,1.1233,0.0,6592
414,207,0.1656,1.1075,0.0,6624
416,208,0.1664,1.229,0.0,6656
418,209,0.1672,1.1906,0.0,6688
420,210,0.168,1.1264,0.0,6720
422,211,0.1688,1.0365,0.0,6752
424,212,0.1696,1.1445,0.0,6784
426,213,0.1704,1.1017,0.0,6816
428,214,0.1712,1.0891,0.0,6848
430,215,0.172,1.1118,0.0,6880
432,216,0.1728,1.1303,0.0,6912
434,217,0.1736,1.1579,0.0,6944
436,218,0.1744,1.1174,0.0,6976
438,219,0.1752,1.1091,0.0,7008
440,220,0.176,1.1049,0.0,7040
442,221,0.1768,1.0693,0.0,7072
444,222,0.1776,1.1537,0.0,7104
446,223,0.1784,1.1683,0.0,7136
448,224,0.1792,1.1867,0.0,7168
450,225,0.18,1.0891,0.0,7200
452,226,0.1808,1.2094,0.0,7232
454,227,0.1816,1.1452,0.0,7264
456,228,0.1824,1.1921,0.0,7296
458,229,0.1832,1.2253,0.0,7328
460,230,0.184,1.1124,0.0,7360
462,231,0.1848,1.0064,0.0,7392
464,232,0.1856,1.1845,0.0,7424
466,233,0.1864,1.1619,0.0,7456
468,234,0.1872,1.2037,0.0,7488
470,235,0.188,1.0714,0.0,7520
472,236,0.1888,1.1725,0.0,7552
474,237,0.1896,1.1166,0.0,7584
476,238,0.1904,1.0425,0.0,7616
478,239,0.1912,1.0224,0.0,7648
480,240,0.192,1.0763,0.0,7680
482,241,0.1928,1.1767,0.0,7712
484,242,0.1936,1.1376,0.0,7744
486,243,0.1944,1.1625,0.0,7776
488,244,0.1952,1.1427,0.0,7808
490,245,0.196,1.1442,0.0,7840
492,246,0.1968,1.2005,0.0,7872
494,247,0.1976,1.052,0.0,7904
496,248,0.1984,1.1309,0.0,7936
498,249,0.1992,1.1611,0.0,7968
500,250,0.2,1.1043,0.0,8000
502,251,0.2008,1.1615,0.0,8032
504,252,0.2016,1.169,0.0,8064
506,253,0.2024,1.1078,0.0,8096
508,254,0.2032,1.1811,0.0,8128
510,255,0.204,1.2096,0.0,8160
512,256,0.2048,1.0919,0.0,8192
514,257,0.2056,1.0611,0.0,8224
516,258,0.2064,1.1249,0.0,8256
518,259,0.2072,1.1387,0.0,8288
520,260,0.208,1.1439,0.0,8320
522,261,0.2088,1.1365,0.0,8352
524,262,0.2096,1.2518,0.0,8384
526,263,0.2104,1.143,0.0,8416
528,264,0.2112,1.1646,0.0,8448
530,265,0.212,1.051,0.0,8480
532,266,0.2128,1.1416,0.0,8512
534,267,0.2136,1.1819,0.0,8544
536,268,0.2144,1.1532,0.0,8576
538,269,0.2152,1.0202,0.0,8608
540,270,0.216,1.1341,0.0,8640
542,271,0.2168,1.1482,0.0,8672
544,272,0.2176,1.1601,0.0,8704
546,273,0.2184,1.0461,0.0,8736
548,274,0.2192,1.0979,0.0,8768
550,275,0.22,1.1486,0.0,8800
552,276,0.2208,1.1575,0.0,8832
554,277,0.2216,1.0892,0.0,8864
556,278,0.2224,1.1223,0.0,8896
558,279,0.2232,1.117,0.0,8928
560,280,0.224,1.0431,0.0,8960
562,281,0.2248,1.0473,0.0,8992
564,282,0.2256,1.1215,0.0,9024
566,283,0.2264,1.1709,0.0,9056
568,284,0.2272,1.1566,0.0,9088
570,285,0.228,1.2395,0.0,9120
572,286,0.2288,1.159,0.0,9152
574,287,0.2296,1.0998,0.0,9184
576,288,0.2304,1.1571,0.0,9216
578,289,0.2312,1.0988,0.0,9248
580,290,0.232,1.2079,0.0,9280
582,291,0.2328,1.1315,0.0,9312
584,292,0.2336,1.1347,0.0,9344
586,293,0.2344,1.12,0.0,9376
588,294,0.2352,1.1269,0.0,9408
590,295,0.236,1.1097,0.0,9440
592,296,0.2368,1.1022,0.0,9472
594,297,0.2376,1.1959,0.0,9504
596,298,0.2384,1.1159,0.0,9536
598,299,0.2392,1.1084,0.0,9568
600,300,0.24,1.151,0.0,9600
602,301,0.2408,1.2012,0.0,9632
604,302,0.2416,1.1436,0.0,9664
606,303,0.2424,1.1395,0.0,9696
608,304,0.2432,1.1577,0.0,9728
610,305,0.244,1.1383,0.0,9760
612,306,0.2448,1.0888,0.0,9792
614,307,0.2456,1.1226,0.0,9824
616,308,0.2464,1.1436,0.0,9856
618,309,0.2472,1.0946,0.0,9888
620,310,0.248,1.1144,0.0,9920
622,311,0.2488,1.2251,0.0,9952
624,312,0.2496,1.1448,0.0,9984
